"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"GM.CSF",6518,"M","15 Mosquitos",3,17,17,"Squirrel","Zika virus"
"GM.CSF",5730,"F","15 Mosquitos",2,17,17,"Squirrel","Zika virus"
"GM.CSF",4728,"F","15 Mosquitos",2,17,17,"Squirrel","Zika virus"
"GM.CSF",6311,"M","15 Mosquitos",3,17,17,"Squirrel","Zika virus"
"GM.CSF",6550,"M","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",6550,"M","15 Mosquitos",3,17,17,"Squirrel","Zika virus"
"HGF",5013,"F","15 Mosquitos",3,6306.33,70.66,"Squirrel","Zika virus"
"HGF",4728,"F","15 Mosquitos",2,1440.27,70.66,"Squirrel","Zika virus"
"HGF",5013,"F","15 Mosquitos",1,7103.3,70.66,"Squirrel","Zika virus"
"HGF",4806,"F","15 Mosquitos",3,2306.16,70.66,"Squirrel","Zika virus"
"HGF",5929,"F","Control",1,70.66,70.66,"Squirrel","Zika virus"
"HGF",6347,"M","15 Mosquitos",2,70.66,70.66,"Squirrel","Zika virus"
"HGF",5730,"F","15 Mosquitos",2,70.66,70.66,"Squirrel","Zika virus"
"HGF",6359,"M","15 Mosquitos",2,70.66,70.66,"Squirrel","Zika virus"
"HGF",4728,"F","15 Mosquitos",-7,673.28,70.66,"Squirrel","Zika virus"
"HGF",5929,"F","Control",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6311,"M","15 Mosquitos",1,70.66,70.66,"Squirrel","Zika virus"
"HGF",6347,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",4683,"F","15 Mosquitos",4,70.66,70.66,"Squirrel","Zika virus"
"HGF",4728,"F","15 Mosquitos",4,1160.73,70.66,"Squirrel","Zika virus"
"HGF",4683,"F","15 Mosquitos",2,70.66,70.66,"Squirrel","Zika virus"
"HGF",5080,"F","Control",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",4806,"F","15 Mosquitos",1,1523.56,70.66,"Squirrel","Zika virus"
"HGF",5730,"F","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6550,"M","15 Mosquitos",1,70.66,70.66,"Squirrel","Zika virus"
"HGF",6359,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6518,"M","15 Mosquitos",7,70.66,70.66,"Squirrel","Zika virus"
"HGF",5080,"F","Control",2,70.66,70.66,"Squirrel","Zika virus"
"HGF",6359,"M","15 Mosquitos",8,70.66,70.66,"Squirrel","Zika virus"
"HGF",4683,"F","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",5080,"F","Control",4,70.66,70.66,"Squirrel","Zika virus"
"HGF",6518,"M","15 Mosquitos",1,70.66,70.66,"Squirrel","Zika virus"
"HGF",6311,"M","15 Mosquitos",5,70.66,70.66,"Squirrel","Zika virus"
"HGF",4683,"F","15 Mosquitos",8,70.66,70.66,"Squirrel","Zika virus"
"HGF",6311,"M","15 Mosquitos",7,1909.53,70.66,"Squirrel","Zika virus"
"HGF",6518,"M","15 Mosquitos",5,70.66,70.66,"Squirrel","Zika virus"
"HGF",6550,"M","15 Mosquitos",3,70.66,70.66,"Squirrel","Zika virus"
"HGF",5730,"F","15 Mosquitos",8,70.66,70.66,"Squirrel","Zika virus"
"HGF",4806,"F","15 Mosquitos",5,5356.34,70.66,"Squirrel","Zika virus"
"HGF",6550,"M","15 Mosquitos",5,70.66,70.66,"Squirrel","Zika virus"
"HGF",5080,"F","Control",28,70.66,70.66,"Squirrel","Zika virus"
"HGF",5013,"F","15 Mosquitos",5,7272.26,70.66,"Squirrel","Zika virus"
"HGF",5929,"F","Control",5,70.66,70.66,"Squirrel","Zika virus"
"HGF",4728,"F","15 Mosquitos",8,1662.06,70.66,"Squirrel","Zika virus"
"HGF",5013,"F","15 Mosquitos",7,12586.48,70.66,"Squirrel","Zika virus"
"HGF",5730,"F","15 Mosquitos",4,70.66,70.66,"Squirrel","Zika virus"
"HGF",6518,"M","15 Mosquitos",3,70.66,70.66,"Squirrel","Zika virus"
"HGF",5080,"F","Control",8,70.66,70.66,"Squirrel","Zika virus"
"HGF",5929,"F","Control",3,70.66,70.66,"Squirrel","Zika virus"
"HGF",6347,"M","15 Mosquitos",4,70.66,70.66,"Squirrel","Zika virus"
"HGF",4806,"F","15 Mosquitos",7,5070.38,70.66,"Squirrel","Zika virus"
"HGF",6311,"M","15 Mosquitos",3,70.66,70.66,"Squirrel","Zika virus"
"HGF",5929,"F","Control",7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6550,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6347,"M","15 Mosquitos",8,70.66,70.66,"Squirrel","Zika virus"
"HGF",5013,"F","15 Mosquitos",-7,15367.17,70.66,"Squirrel","Zika virus"
"HGF",6359,"M","15 Mosquitos",4,70.66,70.66,"Squirrel","Zika virus"
"HGF",6311,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6518,"M","15 Mosquitos",-7,70.66,70.66,"Squirrel","Zika virus"
"HGF",6347,"M","15 Mosquitos",28,324.57,70.66,"Squirrel","Zika virus"
"HGF",4806,"F","15 Mosquitos",-7,919.09,70.66,"Squirrel","Zika virus"
"HGF",6550,"M","15 Mosquitos",7,70.66,70.66,"Squirrel","Zika virus"
"HGF",5730,"F","15 Mosquitos",28,70.66,70.66,"Squirrel","Zika virus"
"HGF",6359,"M","15 Mosquitos",28,70.66,70.66,"Squirrel","Zika virus"
"I.TAC",6518,"M","15 Mosquitos",7,57.78,32.04,"Squirrel","Zika virus"
"I.TAC",5730,"F","15 Mosquitos",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",6347,"M","15 Mosquitos",4,47.82,32.04,"Squirrel","Zika virus"
"I.TAC",4806,"F","15 Mosquitos",5,81.53,32.04,"Squirrel","Zika virus"
"I.TAC",6311,"M","15 Mosquitos",7,72.72,32.04,"Squirrel","Zika virus"
"I.TAC",5080,"F","Control",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",6359,"M","15 Mosquitos",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",6359,"M","15 Mosquitos",4,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",5013,"F","15 Mosquitos",7,124.31,32.04,"Squirrel","Zika virus"
"I.TAC",4728,"F","15 Mosquitos",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",5929,"F","Control",-7,45.24,32.04,"Squirrel","Zika virus"
"I.TAC",6347,"M","15 Mosquitos",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",4806,"F","15 Mosquitos",7,117.68,32.04,"Squirrel","Zika virus"
"I.TAC",5730,"F","15 Mosquitos",4,36.86,32.04,"Squirrel","Zika virus"
"I.TAC",4683,"F","15 Mosquitos",-7,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",4683,"F","15 Mosquitos",4,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",6550,"M","15 Mosquitos",7,62.34,32.04,"Squirrel","Zika virus"
"I.TAC",6550,"M","15 Mosquitos",1,33.72,32.04,"Squirrel","Zika virus"
"I.TAC",4806,"F","15 Mosquitos",-7,52.17,32.04,"Squirrel","Zika virus"
"I.TAC",6518,"M","15 Mosquitos",1,36.12,32.04,"Squirrel","Zika virus"
"I.TAC",5929,"F","Control",7,38.94,32.04,"Squirrel","Zika virus"
"I.TAC",6347,"M","15 Mosquitos",8,32.04,32.04,"Squirrel","Zika virus"
"I.TAC",6550,"M","15 Mosquitos",-7,34.32,32.04,"Squirrel","Zika virus"
