"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"G.CSF","BC167","F","10 Mosquitos",-7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",-7,1171.88,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",1,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",3,135.21,113.59,"Cyno","Dengue virus"
"G.CSF","BC167","F","10 Mosquitos",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB395","F","10 Mosquitos",4,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","BC116A","M","10 Mosquitos",-7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",1,138.97,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",6,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",2,157.89,113.59,"Cyno","Dengue virus"
"G.CSF","BC407","F","1 Mosquito",7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",-7,206.16,113.59,"Cyno","Dengue virus"
"G.CSF","CP60","F","1 Mosquito",5,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",4,157.32,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",2,130.46,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","BC407","F","1 Mosquito",5,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","BC407","F","1 Mosquito",-7,243.55,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",3,169.19,113.59,"Cyno","Dengue virus"
"G.CSF","FR423A","M","10 Mosquitos",2,155.35,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",4,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR423A","M","10 Mosquitos",-7,173.87,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",1,201.23,113.59,"Cyno","Dengue virus"
"G.CSF","BC407","F","1 Mosquito",6,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",2,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","CP60","F","1 Mosquito",7,143.09,113.59,"Cyno","Dengue virus"
"G.CSF","BC116A","M","10 Mosquitos",5,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",4,188.16,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",28,1163.77,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",3,114.88,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",-7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",28,176.38,113.59,"Cyno","Dengue virus"
"G.CSF","CP60","F","1 Mosquito",-7,172.38,113.59,"Cyno","Dengue virus"
"G.CSF","FR423A","M","10 Mosquitos",4,132.27,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",3,202.87,113.59,"Cyno","Dengue virus"
"G.CSF","SB395","F","10 Mosquitos",2,113.59,113.59,"Cyno","Dengue virus"
