"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",4,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"MIP.1B","F",85.84,32.55,1.337279950148,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"EGF","F",153.11,3.41,1.31447458791209,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"MDC","F",1605.32,286.83,0.911259330741067,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"RANTES","F",5086.76,9.09,1.55414401945598,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"Eotaxin","F",118.92,2.64,0.437495401368553,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"I.TAC","F",131.3,32.66,0.713742117851707,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"MIP.1a","F",180.1,28.54,6.3104414856342,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"MCP.1","F",497.88,20.12,0.892561983471074,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IFN.g","F",28.96,14.44,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.12","F",2653.89,112.39,0.858761248653074,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",4.5,1341
"NV259","Control",5,"EGF","F",57.69,3.41,0.495278159340659,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MDC","F",618.61,286.83,0.351153747906792,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"HGF","F",216.4,74.94,0.266004523551972,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"Eotaxin","F",105.45,2.64,0.38794054889265,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"I.TAC","F",74.29,32.66,0.403837790824092,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.12","F",2173.47,112.39,0.703304135103564,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"G.CSF","F",113.59,113.59,0.967134951042997,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IFN.g","F",14.44,14.44,0.498618784530387,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MIF","F",54.89,5.06,0.351363461784663,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.RA","F",189.29,55.74,1.04927937915743,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MIP.1B","F",35.8,32.55,0.557719270914473,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"RANTES","F",1585.2,9.09,0.484321866893979,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MIP.1a","F",173.2,28.54,6.06867554309741,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"TGFbeta","F",40.17,3.3,0.408605431797376,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",3.4,1025
"NV259","Control",5,"MCP.1","F",270.32,20.12,0.484609454832291,"Cyno","Dengue virus",3.4,1025
"NV259","Control",6,"HGF","F",892.97,74.94,1.09766201199725,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.12","F",2572.7,112.39,0.832489313577339,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"EGF","F",155.37,3.41,1.33387706043956,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.2","F",320.58,43.77,7.32419465387251,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MIF","F",209.86,5.06,1.34336192548969,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.RA","F",269.02,55.74,1.49124168514412,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"GM.CSF","F",18.68,12.88,1.45031055900621,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"I.TAC","F",137.37,32.66,0.746738421395956,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"TGFbeta","F",112.98,3.3,1.14922184925236,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"TNF.alpha","F",15.45,14.2,1.08802816901408,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.15","F",107.91,75.45,1.43021868787276,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MCP.1","F",648.1,20.12,1.16186515121636,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"G.CSF","F",174.25,113.59,1.48361004682844,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MDC","F",1684.2,286.83,0.95603553486788,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IFN.g","F",82.06,14.44,2.8335635359116,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"RANTES","F",3296.94,9.09,1.00730515760625,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"Eotaxin","F",198.75,2.64,0.731182400117725,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IP.10","F",4.85,4.38,1.10730593607306,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MIP.1a","F",229.16,28.54,8.02943237561317,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",3.7,1102
"NV259","Control",6,"MIP.1B","F",115.87,32.55,1.80510983019162,"Cyno","Dengue virus",3.7,1102
"NV259","Control",7,"EGF","F",59.24,3.41,0.508585164835165,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"HGF","F",478.03,74.94,0.587606942668896,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MIF","F",70.2,5.06,0.449366278325439,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"Eotaxin","F",154.19,2.64,0.567250386285042,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"RANTES","F",4294.09,9.09,1.31196169909839,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"I.TAC","F",97.63,32.66,0.530713198521418,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"G.CSF","F",113.59,113.59,0.967134951042997,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IFN.g","F",14.44,14.44,0.498618784530387,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"TGFbeta","F",77.32,3.3,0.786491709897264,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.15","F",673.86,75.45,8.93121272365805,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.RA","F",161.12,55.74,0.893126385809313,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MIP.1B","F",74.93,32.55,1.16731578127434,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MDC","F",1444.04,286.83,0.819708795731275,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.12","F",1754.21,112.39,0.567637532075447,"Cyno","Dengue virus",3.9,1186
